Word,Checked
confide,0
exclusive,0
fluctuate,0
engender,0
proliferation,0
berate,0
contemptuous,0
obnoxious,13
stigmatize,0
cause,0
fringe,0
hypocritically,0
status quo,37
intrinsic,0
portrayal,0
connotation,0
denote,0
ingenious,0
medium,0
skit,0
zeal,0
ace,0
and then some,35
at the eleventh hour,0
bad mouth,0
be in and out,0
be on the go,0
be up and running,0
beat,0
beat around the bush,0
beat one's brains out,0
bent out of shape,0
blow one's top,0
boom box,0
break someone's heart,12
bull-headed,0
bundle,0
bushed,34
call it quits / call it a day,0
can't make heads or tails of something,0
cinch,0
cool it,0
couch potato,0
cut it out!,0
count chickens until (before) they hatch,0
dicey,0
easy does it,0
elbow grease,0
far-fetched,15
feel puny,0
fender-bender,12
get a kick out of something,0
get on one's nerves,0
get one's wires crossed,0
get up and go,0
hard feelings,0
hard-headed,0
hands full,0
have something down pat,13
head honcho,0
hit the hay,0
hit the sack,2
how come?,0
in over one's head,0
inside out,0
in the black,34
in the red,0
jump all over,0
keep one's nose to the grindstone,23
know-it-all,0
leave well enough alone,0
let sleeping dogs lie,0
live from hand to mouth,0
low blow,0
lousy,0
make a mountain out of a molehill,0
nosh,0
not on your life,0
now and again / now and then,0
on the dot,0
on the cutting edge,0
over one's head,0
pay the piper,0
pooped,0
pull an all-nighter,0
pull leg,0
rain or shine,0
rub someone the wrong way,0
run-down,0
savvy,0
snap,0
make his/her own bed; now let him/he lie in it,0
state of the art,0
step on it!,0
toss something,0
tight-fisted,4
tightwad,0
under the weather,0
until one's blue in the face,0
was my face red!,0
wear out welcome,0
what for,0
wishy-washy,0
with bells on,0
would just as soon,0
you don't say,0
yucky,0
yummy,0
zilch,0
chip in,0
come across as,0
come forward,0
cut back on something,0
do someone/something over,0
do something up,0
drop back,0
fill something in / fill something out,0
fill someone/something up,0
get away from someone/something,23
get back at someone,0
get over,0
give away,30
give in,0
go after something,0
go ahead,11
go over something,0
go over,0
go without something,0
grow apart,0
hand down,0
hand in,0
hang in there,13
hang on,0
hold on,0
hold onto someone/something,0
look into something,0
look over,0
look up to someone,0
pass something up,0
run through something,0
sleep over,0
stick to something,0
think something over,0
turn somebody / something down,0
turn up,0
try something on,0
wear off,0
hold down the fort,0
pull (something) out of (one's) hat,0
jump on the bandwagon,0
comply to,0
roll with the punches,0
resilience,0
be saved by the bell,0
all hell breaks loose,0
quirky,0
rubbish man / garbage man,8
empathetic,0
split second,0
a blessing in disguise,0
fair dinkum,0
bloody ripper,0
minced meat,0
doozy,0
straight away,0
in the middle of nowhere,0
go walkabout,0
redeem,0
bloke,0
give (something/someone) a go,0
cut (someone) some slack,0
folks,0
lingo,0
knock off,0
someone is dreaming,0
throw over,0
apartment,0
townhouse,0
down payment,0
go through,0
single-family home,0
vacation leave,0
sign off,29
maternity leave,0
leave of absence,18
sick leave,0
straight out,0
wild weekend,0
rear-end,0
SUV,35
wuss,0
buckle up,0
get caught up,0
be worked up,0
have been over this,0
what's the big deal,0
inconsiderate,0
overreact,0
make it up to,20
have you been helped?,0
roll over,0
abash,0
abate,0
aberrant,0
abject,0
abjure,0
abnegate,0
abrogate,0
abscond,0
abstemious,0
abstruse,11
abysmal,0
accede,0
accolade,0
accrete,0
acerbic,0
acumen,0
adduce,0
adroit,0
adulation,0
adulterate,0
adumbrate,0
aesthetic,0
affectation,0
aggrandize,0
aggregate,0
aghast,0
alacrity,0
allege,0
amalgamate,0
ambience,12
ambivalent,0
ameliorate,3
amenable,0
amorphous,0
ancillary,0
animosity,0
anodyne,0
antecedent,0
apex,0
apocryphal,0
apogee,0
apostasy,0
apotheosis,0
apposite,0
appropriate,0
arcane,0
archetype,0
arduous,0
arrant,0
artless,0
ascetic,0
asseverate,0
astute,0
attrition,27
audacious,0
augment,0
augur,5
auspicious,0
austere,0
avarice,0
aver,0
avow,0
baleful,0
beatify,0
belabor,0
beleaguer,0
belie,29
benign,0
bereave,0
bilious,0
blithe,0
bolster,0
bucolic,0
burgeon,0
cacophony,0
callow,0
calumny,0
canonical,0
captious,0
cardinal,0
catholic,8
caustic,0
cavil,18
celerity,29
censure,0
chagrin,0
chary,0
chicanery,0
circumspect,0
coalesce,0
cogent,0
cognizant,0
collusion,0
commensurate,34
complaisance,0
connoisseure,0
consecrate,0
consonant,27
consummate,0
contentious,0
contiguous,0
contretemps,20
contrite,0
convention,0
convivial,0
convoluted,0
copious,9
corrigible,0
corroborate,0
coterie,0
credulous,0
cull,0
culpable,0
cursory,0
daunt,0
dearth,0
debacle,0
debauchery,0
decorous,0
decorum,0
deleterious,0
demur,0
deprecate,6
derision,0
descry,0
desiccate,0
desuetude,0
desultory,0
diaphanous,0
diatribe,0
didactic,0
diffident,0
dilapidated,0
dilettante,0
disabuse,0
discomfit,0
discordant,0
discourse,0
discretion,0
disinterested,0
disparage,0
disparate,0
dissemble,0
diurnal,33
divulge,0
doggerel,0
dogmatic,0
ebullience,0
eccentric,0
eclectic,0
effrontery,0
egregious,0
egress,0
elegy,0
eloquent,0
elucidate,24
emollient,0
empirical,0
encomium,0
enervate,0
ennui,0
ephemeral,0
epicure,0
epitome,0
equanimity,0
equivocate,0
eschew,0
esoteric,0
espouse,0
estimable,0
eulogy,0
evince,0
exacerbate,0
excoriate,0
exculpate,0
execrate,0
exegesis,0
exhort,0
exigent,0
exonerate,0
expiate,0
exposition,0
extemporaneous,0
extol,0
facetious,0
facile,0
fallacy,0
fatuous,0
fawn,0
fecund,0
fell,0
fervent,0
fetter,0
flag,22
flippant,0
flout,0
foment,0
forbear,0
fortuitous,0
founder,0
fractious,0
fulminate,0
fulsome,0
furtive,0
gainsay,0
gambit,0
garrulous,0
genial,0
germane,0
glib,0
gratuitous,0
hackneyed,0
halcyon,0
harangue,0
harbinger,0
hegemony,0
hirsute,0
hoary,33
hubris,0
husband,0
hyperbole,0
iconoclast,0
idolatrous,0
ignominy,0
imbroglio,0
imminent,0
impassive,0
impecunious,0
imperturbable,0
impetuous,0
importune,0
impromptu,0
impunity,0
incandescent,0
inchoate,0
incipient,20
incorrigible,0
indefatigable,0
indifferent,0
indolent,0
ineluctable,0
inept,0
inert,0
inexorable,0
infelicitous,0
inimical,0
innocuous,0
insipid,0
insouciance,0
intractable,0
intransigent,0
inundate,0
inured,0
inveigle,0
invidious,0
irascible,19
itinerant,0
jejune,0
judicious,0
lachrymose,0
lament,29
largess,0
lascivious,0
lassitude,0
laud,0
levee,0
levity,21
